"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 05:39:36,10.38,23,1.3
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 06:09:30,10.38,23,2.21
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 07:11:22,10.48,36,2.53
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 07:56:35,10.76,46,3.09
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 08:56:25,10.76,46,2.57
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 09:55:55,5.74,86,0.32
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 10:53:03,4.74,91,0.74
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 11:34:52,3.76,93,2.57
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 12:00:56,3.76,93,2.57
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 13:23:27,-0.24,100,1.54
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 14:12:15,1.89,99,0.93
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 15:09:02,0.76,100,2.06
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 16:05:25,0.76,100,2.06
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 18:20:33,0.76,100,2.06
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 19:41:10,2.6,74,2.67
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 20:24:00,-0.24,100,1.03
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 21:02:29,-0.24,100,1.54
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 21:48:44,0.76,100,1.54
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 22:20:36,0.76,100,1.03
"['current_time', 'temp', 'sup', 'pu']"
2026-03-05 23:34:48,1.76,93,3.6
"['current_time', 'temp', 'sup', 'pu']"
2026-03-06 00:57:46,1.76,93,3.09
"['current_time', 'temp', 'sup', 'pu']"
2026-03-06 03:31:55,3.76,75,4.63
"['current_time', 'temp', 'sup', 'pu']"
2026-03-06 05:00:34,3.76,75,6.69
